person,project,time_start,time_end,duration
Frodo Baggins,Project b,2010-01-01T10:00:00Z,2010-01-01T12:50:00Z,3
Frodo Baggins,Project b,2010-01-01T17:18:44Z,2010-01-01T18:03:44Z,1
Frodo Baggins,Project b,2010-01-01T20:42:03Z,2010-01-01T23:37:03Z,3
Frodo Baggins,Project b,2010-01-03T11:16:49Z,2010-01-03T15:36:49Z,5
Frodo Baggins,Project b,2010-01-10T08:13:10Z,2010-01-10T10:59:10Z,3
Frodo Baggins,Project b,2010-01-16T07:02:38Z,2010-01-16T11:21:38Z,5
Frodo Baggins,Project b,2010-01-16T18:54:56Z,2010-01-16T22:47:56Z,4
Frodo Baggins,Project b,2010-01-18T16:19:03Z,2010-01-18T17:59:03Z,2
Frodo Baggins,Project a,2010-01-21T04:44:12Z,2010-01-21T06:35:12Z,2
Frodo Baggins,Project a,2010-01-23T08:08:15Z,2010-01-23T08:48:15Z,1
Frodo Baggins,Project b,2010-01-25T01:15:56Z,2010-01-25T02:08:56Z,1
Frodo Baggins,Project b,2010-01-31T06:45:35Z,2010-01-31T08:26:35Z,2
Frodo Baggins,Project b,2010-01-31T12:08:46Z,2010-01-31T14:02:46Z,2
Frodo Baggins,Project b,2010-01-31T21:51:39Z,2010-02-01T00:17:39Z,3
Frodo Baggins,Project b,2010-02-08T19:31:53Z,2010-02-08T21:46:53Z,3
Frodo Baggins,Project a,2010-02-09T00:20:47Z,2010-02-09T02:35:47Z,3
Frodo Baggins,Project a,2010-02-09T06:36:04Z,2010-02-09T09:12:04Z,3
Frodo Baggins,Project b,2010-02-17T23:21:32Z,2010-02-18T02:41:32Z,4
Frodo Baggins,Project b,2010-02-19T14:39:06Z,2010-02-19T16:14:06Z,2
Frodo Baggins,Project b,2010-02-19T18:02:16Z,2010-02-19T21:12:16Z,4
Frodo Baggins,Project b,2010-03-02T14:38:56Z,2010-03-02T15:40:56Z,2
Frodo Baggins,Project b,2010-03-04T22:00:06Z,2010-03-05T01:39:06Z,4
Frodo Baggins,Project b,2010-03-10T21:02:00Z,2010-03-11T01:35:00Z,5
Frodo Baggins,Project b,2010-03-11T07:24:50Z,2010-03-11T08:53:50Z,2
Frodo Baggins,Project b,2010-03-11T11:07:36Z,2010-03-11T12:42:36Z,2
Frodo Baggins,Project b,2010-03-17T07:54:37Z,2010-03-17T10:29:37Z,3
Frodo Baggins,Project b,2010-03-17T22:50:18Z,2010-03-18T01:07:18Z,3
Frodo Baggins,Project b,2010-03-20T01:48:41Z,2010-03-20T04:53:41Z,4
Frodo Baggins,Project b,2010-03-21T14:20:12Z,2010-03-21T15:46:12Z,2
Frodo Baggins,Project b,2010-03-21T17:24:21Z,2010-03-21T20:33:21Z,4
Frodo Baggins,Project b,2010-03-22T01:38:02Z,2010-03-22T03:02:02Z,2
Frodo Baggins,Project b,2010-03-22T12:58:33Z,2010-03-22T13:27:33Z,1
Frodo Baggins,Project b,2010-03-26T05:09:54Z,2010-03-26T05:43:54Z,1
Frodo Baggins,Project b,2010-03-26T07:33:52Z,2010-03-26T08:05:52Z,1
Frodo Baggins,Project b,2010-03-26T08:43:06Z,2010-03-26T13:32:06Z,5
Frodo Baggins,Project b,2010-04-01T18:19:02Z,2010-04-01T20:53:02Z,3
Frodo Baggins,Project b,2010-04-03T10:51:23Z,2010-04-03T13:08:23Z,3
Frodo Baggins,Project b,2010-04-03T15:44:15Z,2010-04-03T17:53:15Z,3
Frodo Baggins,Project b,2010-04-03T21:29:30Z,2010-04-04T02:33:30Z,6
Frodo Baggins,Project b,2010-04-06T00:35:45Z,2010-04-06T01:23:45Z,1
Frodo Baggins,Project b,2010-04-07T17:22:02Z,2010-04-07T18:11:02Z,1
Frodo Baggins,Project b,2010-04-08T07:50:58Z,2010-04-08T08:06:58Z,1
Frodo Baggins,Project b,2010-04-10T07:50:53Z,2010-04-10T08:50:53Z,1
Frodo Baggins,Project b,2010-04-16T07:38:56Z,2010-04-16T08:09:56Z,1
Frodo Baggins,Project b,2010-04-16T11:36:00Z,2010-04-16T13:32:00Z,2
Frodo Baggins,Project b,2010-04-18T10:34:57Z,2010-04-18T13:29:57Z,3
Frodo Baggins,Project b,2010-04-19T07:40:02Z,2010-04-19T08:23:02Z,1
Frodo Baggins,Project b,2010-04-19T09:34:06Z,2010-04-19T09:58:06Z,1
Frodo Baggins,Project b,2010-04-20T15:05:58Z,2010-04-20T17:01:58Z,2
Frodo Baggins,Project b,2010-04-21T00:25:23Z,2010-04-21T02:08:23Z,2
Frodo Baggins,Project b,2010-04-22T17:24:02Z,2010-04-22T20:47:02Z,4
Frodo Baggins,Project b,2010-04-23T00:37:45Z,2010-04-23T01:12:45Z,1
Frodo Baggins,Project b,2010-04-23T01:54:00Z,2010-04-23T01:56:00Z,1
Frodo Baggins,Project b,2010-04-23T04:04:19Z,2010-04-23T05:24:19Z,2
Frodo Baggins,Project b,2010-04-23T06:54:25Z,2010-04-23T08:22:25Z,2
Frodo Baggins,Project b,2010-04-23T10:51:59Z,2010-04-23T11:47:59Z,1
Frodo Baggins,Project b,2010-04-25T07:46:32Z,2010-04-25T11:27:32Z,4
Frodo Baggins,Project b,2010-05-01T07:29:29Z,2010-05-01T09:16:29Z,2
Frodo Baggins,Project b,2010-05-01T11:17:42Z,2010-05-01T13:21:42Z,3
Frodo Baggins,Project b,2010-05-01T18:43:22Z,2010-05-01T19:48:22Z,2
Frodo Baggins,Project b,2010-05-03T09:42:54Z,2010-05-03T11:22:54Z,2
Frodo Baggins,Project b,2010-05-03T14:06:48Z,2010-05-03T16:29:48Z,3
Frodo Baggins,Project b,2010-05-03T20:01:26Z,2010-05-03T22:45:26Z,3
Frodo Baggins,Project b,2010-05-05T18:17:48Z,2010-05-05T19:06:48Z,1
Frodo Baggins,Project b,2010-05-05T20:02:10Z,2010-05-05T21:21:10Z,2
Frodo Baggins,Project b,2010-05-06T00:46:49Z,2010-05-06T01:21:49Z,1
Frodo Baggins,Project b,2010-05-06T01:59:37Z,2010-05-06T03:04:37Z,2
Frodo Baggins,Project b,2010-05-06T04:18:03Z,2010-05-06T06:36:03Z,3
Frodo Baggins,Project b,2010-05-07T20:56:25Z,2010-05-07T23:05:25Z,3
Frodo Baggins,Project b,2010-05-08T03:36:38Z,2010-05-08T04:02:38Z,1
Frodo Baggins,Project b,2010-05-08T04:31:36Z,2010-05-08T08:03:36Z,4
Frodo Baggins,Project b,2010-05-09T20:46:27Z,2010-05-09T21:22:27Z,1
Frodo Baggins,Project b,2010-05-16T20:43:11Z,2010-05-16T21:53:11Z,2
Frodo Baggins,Project b,2010-05-18T09:29:36Z,2010-05-18T12:18:36Z,3
Frodo Baggins,Project b,2010-05-18T15:30:52Z,2010-05-18T16:22:52Z,1
Frodo Baggins,Project b,2010-05-22T17:00:57Z,2010-05-22T19:33:57Z,3
Frodo Baggins,Project b,2010-05-22T22:28:01Z,2010-05-22T23:37:01Z,2
Frodo Baggins,Project b,2010-05-23T02:46:31Z,2010-05-23T05:54:31Z,4
Frodo Baggins,Project b,2010-05-23T09:27:16Z,2010-05-23T10:44:16Z,2
Frodo Baggins,Project b,2010-05-24T23:34:38Z,2010-05-25T01:04:38Z,2
Frodo Baggins,Project b,2010-05-25T02:46:52Z,2010-05-25T03:56:52Z,2
Frodo Baggins,Project b,2010-05-25T14:02:13Z,2010-05-25T14:54:13Z,1
